perinatal_dx_code,perinatal_dx_catagory,perinatal_dx_descrip,perinatal_icd_code
646.81,,"Other specified complications of pregnancy, delivered, with or without mention of antepartum condition",ICD9
656.83,,"Other specified fetal and placental problems, affecting management of mother, antepartum condition or complication",ICD9
656.63,,"Excessive fetal growth, affecting management of mother, antepartum condition or complication",ICD9
654.93,,"Other and unspecified abnormality of organs and soft tissues of pelvis, antepartum condition or complication",ICD9
648.21,,"Anemia of mother, delivered, with or without mention of antepartum condition",ICD9
649.11,,"Obesity complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
644,,"Threatened premature labor, unspecified as to episode of care or not applicable",ICD9
654.41,,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with or without mention of antepartum condition",ICD9
648,,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
655.73,,"Decreased fetal movements, affecting management of mother, antepartum condition or complication",ICD9
675.03,,"Infections of nipple associated with childbirth, antepartum condition or complication",ICD9
643.9,,"Unspecified vomiting of pregnancy, unspecified as to episode of care or not applicable",ICD9
657,,"Polyhydramnios, unspecified as to episode of care or not applicable",ICD9
648.43,,"Mental disorders of mother, antepartum condition or complication",ICD9
657.01,,"Polyhydramnios, delivered, with or without mention of antepartum condition",ICD9
663.01,,"Prolapse of cord complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
648.41,,"Mental disorders of mother, delivered, with or without mention of antepartum condition",ICD9
648.03,,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
632,,Missed abortion,ICD9
646.13,,"Edema or excessive weight gain in pregnancy, without mention of hypertension, antepartum condition or complication",ICD9
652.81,,"Other specified malposition or malpresentation, delivered, with or without mention of antepartum condition",ICD9
649.53,,"Spotting complicating pregnancy, antepartum condition or complication",ICD9
650,,Normal delivery,ICD9
664.11,,"Second-degree perineal laceration, delivered, with or without mention of antepartum condition",ICD9
666.24,,"Delayed and secondary postpartum hemorrhage, postpartum condition or complication",ICD9
634.92,,"Spontaneous abortion, without mention of complication, complete",ICD9
676.34,,"Other and unspecified disorder of breast associated with childbirth, postpartum condition or complication",ICD9
667.02,,"Retained placenta without hemorrhage, delivered, with mention of postpartum complication",ICD9
646.84,,"Other specified complications of pregnancy, postpartum condition or complication",ICD9
637.92,,"Unspecified abortion, without mention of complication, complete",ICD9
634.9,,"Spontaneous abortion, without mention of complication, unspecified",ICD9
763.1,,"Other malpresentation, malposition, and disproportion during labor and delivery affecting fetus or newborn",ICD9
645.11,,"Post term pregnancy, delivered, with or without mention of antepartum condition",ICD9
655.23,,"Hereditary disease in family possibly affecting fetus, affecting management of mother, antepartum condition or complication",ICD9
640.03,,"Threatened abortion, antepartum condition or complication",ICD9
656.61,,"Excessive fetal growth, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
663.31,,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
669.71,,"Cesarean delivery, without mention of indication, delivered, with or without mention of antepartum condition",ICD9
651.01,,"Twin pregnancy, delivered, with or without mention of antepartum condition",ICD9
651,,"Twin pregnancy, unspecified as to episode of care or not applicable",ICD9
656.71,,"Other placental conditions, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
669.7,,"Cesarean delivery, without mention of indication, unspecified as to episode of care or not applicable",ICD9
658.41,,"Infection of amniotic cavity, delivered, with or without mention of antepartum condition",ICD9
643.03,,"Mild hyperemesis gravidarum, antepartum condition or complication",ICD9
649.04,,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",ICD9
649.43,,"Epilepsy complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
649.41,,"Epilepsy complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
646.9,,"Unspecified complication of pregnancy, unspecified as to episode of care or not applicable",ICD9
648.94,,"Other current conditions classifiable elsewhere of mother, postpartum condition or complication",ICD9
646.6,,"Infections of genitourinary tract in pregnancy, unspecified as to episode of care or not applicable",ICD9
642.31,,"Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition",ICD9
649.01,,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
642.3,,"Transient hypertension of pregnancy, unspecified as to episode of care or not applicable",ICD9
649.03,,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
646.31,,"Recurrent pregnancy loss, delivered, with or without mention of antepartum condition",ICD9
659.73,,"Abnormality in fetal heart rate or rhythm, antepartum condition or complication",ICD9
648.4,,"Mental disorders of mother, unspecified as to episode of care or not applicable",ICD9
648.53,,"Congenital cardiovascular disorders of mother, antepartum condition or complication",ICD9
641.93,,"Unspecified antepartum hemorrhage, antepartum condition or complication",ICD9
642.41,,"Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition",ICD9
644.2,,"Early onset of delivery, unspecified as to episode of care or not applicable",ICD9
658.21,,"Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition",ICD9
658.1,,"Premature rupture of membranes, unspecified as to episode of care or not applicable",ICD9
641.21,,"Premature separation of placenta, delivered, with or without mention of antepartum condition",ICD9
641.2,,"Premature separation of placenta, unspecified as to episode of care or not applicable",ICD9
666.12,,"Other immediate postpartum hemorrhage, delivered, with mention of postpartum complication",ICD9
660.61,,"Unspecified failed trial of labor, delivered, with or without mention of antepartum condition",ICD9
658.4,,"Infection of amniotic cavity, unspecified as to episode of care or not applicable",ICD9
656.8,,"Other specified fetal and placental problems, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
663.9,,"Unspecified umbilical cord complication complicating labor and delivery, unspecified as to episode of care or not applicable",ICD9
648.71,,"Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with or without mention of antepartum condition",ICD9
648.01,,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
656.3,,"Fetal distress, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
644.1,,"Other threatened labor, unspecified as to episode of care or not applicable",ICD9
658.43,,"Infection of amniotic cavity, antepartum condition or complication",ICD9
643.21,,"Late vomiting of pregnancy, delivered, with or without mention of antepartum condition",ICD9
642.43,,"Mild or unspecified pre-eclampsia, antepartum condition or complication",ICD9
669.81,,"Other complications of labor and delivery, delivered, with or without mention of antepartum condition",ICD9
641.81,,"Other antepartum hemorrhage, delivered, with or without mention of antepartum condition",ICD9
642.91,,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
659.7,,"Abnormality in fetal heart rate or rhythm, unspecified as to episode of care or not applicable",ICD9
646.71,,"Liver disorders in pregnancy, delivered, with or without mention of antepartum condition",ICD9
651.93,,"Unspecified multiple gestation, antepartum condition or complication",ICD9
656.13,,"Rhesus isoimmunization, antepartum condition or complication",ICD9
640.9,,"Unspecified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable",ICD9
637.91,,"Unspecified abortion, without mention of complication, incomplete",ICD9
634.91,,"Spontaneous abortion, without mention of complication, incomplete",ICD9
674.82,,"Other complications of puerperium, delivered, with mention of postpartum complication",ICD9
654.53,,"Cervical incompetence, antepartum condition or complication",ICD9
676.5,,"Suppressed lactation, unspecified as to episode of care or not applicable",ICD9
647.51,,"Rubella in the mother, delivered, with or without mention of antepartum condition",ICD9
646.61,,"Infections of genitourinary tract in pregnancy, delivered, with or without mention of antepartum condition",ICD9
654.61,,"Other congenital or acquired abnormality of cervix, delivered, with or without mention of antepartum condition",ICD9
676.9,,"Unspecified disorder of lactation, unspecified as to episode of care or not applicable",ICD9
676.54,,"Suppressed lactation, postpartum condition or complication",ICD9
640.93,,"Unspecified hemorrhage in early pregnancy, antepartum condition or complication",ICD9
661.31,,"Precipitate labor, delivered, with or without mention of antepartum condition",ICD9
642.7,,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, unspecified as to episode of care or not applicable",ICD9
642.4,,"Mild or unspecified pre-eclampsia, unspecified as to episode of care or not applicable",ICD9
655.83,,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, antepartum condition or complication",ICD9
645.21,,"Prolonged pregnancy, delivered, with or without mention of antepartum condition",ICD9
645.23,,"Prolonged pregnancy, antepartum condition or complication",ICD9
658.01,,"Oligohydramnios, delivered, with or without mention of antepartum condition",ICD9
642.51,,"Severe pre-eclampsia, delivered, with or without mention of antepartum condition",ICD9
642.23,,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",ICD9
642.53,,"Severe pre-eclampsia, antepartum condition or complication",ICD9
670.8,,"Other major puerperal infection, unspecified as to episode of care or not applicable",ICD9
647.6,,"Other viral diseases in the mother, unspecified as to episode of care or not applicable",ICD9
674.14,,"Disruption of cesarean wound, postpartum condition or complication",ICD9
656.51,,"Poor fetal growth, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
654.5,,"Cervical incompetence, unspecified as to episode of care or not applicable",ICD9
654.51,,"Cervical incompetence, delivered, with or without mention of antepartum condition",ICD9
659.5,,"Elderly primigravida, unspecified as to episode of care or not applicable",ICD9
656.1,,"Rhesus isoimmunization, unspecified as to episode of care or not applicable",ICD9
655.7,,"Decreased fetal movements, affecting management of mother, unspecified as to episode of care",ICD9
646.33,,"Recurrent pregnancy loss, antepartum condition or complication",ICD9
648.73,,"Bone and joint disorders of back, pelvis, and lower limbs of mother, antepartum condition or complication",ICD9
670.14,,"Puerperal endometritis, postpartum condition or complication",ICD9
645.1,,"Post term pregnancy, unspecified as to episode of care or not applicable",ICD9
658.11,,"Premature rupture of membranes, delivered, with or without mention of antepartum condition",ICD9
656.11,,"Rhesus isoimmunization, delivered, with or without mention of antepartum condition",ICD9
649.73,,"Cervical shortening, antepartum condition or complication",ICD9
658.23,,"Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication",ICD9
666.1,,"Other immediate postpartum hemorrhage, unspecified as to episode of care or not applicable",ICD9
647.81,,"Other specified infectious and parasitic diseases of mother, delivered, with or without mention of antepartum condition",ICD9
658.81,,"Other problems associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",ICD9
640,,"Threatened abortion, unspecified as to episode of care or not applicable",ICD9
660.91,,"Unspecified obstructed labor, delivered, with or without mention of antepartum condition",ICD9
647.33,,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
647.31,,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
671.84,,"Other venous complications of pregnancy and the puerperium, postpartum condition or complication",ICD9
796.5,,Abnormal finding on antenatal screening,ICD9
655.03,,"Central nervous system malformation in fetus, antepartum condition or complication",ICD9
648.33,,"Drug dependence of mother, antepartum condition or complication",ICD9
671.83,,"Other venous complications of pregnancy and the puerperium, antepartum condition or complication",ICD9
655.53,,"Suspected damage to fetus from drugs, affecting management of mother, antepartum condition or complication",ICD9
642.52,,"Severe pre-eclampsia, delivered, with mention of postpartum complication",ICD9
668.81,,"Other complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition",ICD9
648.24,,"Anemia of mother, postpartum condition or complication",ICD9
659.9,,"Unspecified indication for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable",ICD9
659.11,,"Failed medical or unspecified induction of labor, delivered, with or without mention of antepartum condition",ICD9
648.44,,"Mental disorders of mother, postpartum condition or complication",ICD9
652.2,,"Breech presentation without mention of version, unspecified as to episode of care or not applicable",ICD9
654.13,,"Tumors of body of uterus, antepartum condition or complication",ICD9
648.82,,"Abnormal glucose tolerance of mother, delivered, with mention of postpartum complication",ICD9
637.9,,"Unspecified abortion, without mention of complication, unspecified",ICD9
656.6,,"Excessive fetal growth, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
647.01,,"Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
660.01,,"Obstruction caused by malposition of fetus at onset of labor, delivered, with or without mention of antepartum condition",ICD9
649.6,,"Uterine size date discrepancy, unspecified as to episode of care or not applicable",ICD9
631.8,,Other abnormal products of conception,ICD9
631,,Other abnormal product of conception,ICD9
631,,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy,ICD9
649.12,,"Obesity complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9
649.31,,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
649.33,,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
671.8,,"Other venous complications of pregnancy and the puerperium, unspecified as to episode of care or not applicable",ICD9
658.2,,"Delayed delivery after spontaneous or unspecified rupture of membranes, unspecified as to episode of care or not applicable",ICD9
648.31,,"Drug dependence of mother, delivered, with or without mention of antepartum condition",ICD9
676.84,,"Other disorders of lactation, postpartum condition or complication",ICD9
652.61,,"Multiple gestation with malpresentation of one fetus or more, delivered, with or without mention of antepartum condition",ICD9
648.42,,"Mental disorders of mother, delivered, with mention of postpartum complication",ICD9
642.44,,"Mild or unspecified pre-eclampsia, postpartum condition or complication",ICD9
652.41,,"Face or brow presentation, delivered, with or without mention of antepartum condition",ICD9
633.9,,Unspecified ectopic pregnancy without intrauterine pregnancy,ICD9
654.1,,"Tumors of body of uterus, unspecified as to episode of care or not applicable",ICD9
633.1,,Tubal pregnancy without intrauterine pregnancy,ICD9
648.2,,"Anemia of mother, unspecified as to episode of care or not applicable",ICD9
655.51,,"Suspected damage to fetus from drugs, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
646.03,,"Papyraceous fetus, antepartum condition or complication",ICD9
655.71,,"Decreased fetal movements, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
648.84,,"Abnormal glucose tolerance of mother, postpartum condition or complication",ICD9
674.54,,"Peripartum cardiomyopathy, postpartum condition or complication",ICD9
674.5,,"Peripartum cardiomyopathy, unspecified as to episode of care or not applicable",ICD9
673.2,,"Obstetrical blood-clot embolism, unspecified as to episode of care or not applicable",ICD9
671.3,,"Deep phlebothrombosis, antepartum, unspecified as to episode of care or not applicable",ICD9
648.61,,"Other cardiovascular diseases of mother, delivered, with or without mention of antepartum condition",ICD9
648.64,,"Other cardiovascular diseases of mother, postpartum condition or complication",ICD9
674.84,,"Other complications of puerperium, postpartum condition or complication",ICD9
659.33,,"Generalized infection during labor, antepartum condition or complication",ICD9
675.11,,"Abscess of breast associated with childbirth, delivered, with or without mention of antepartum condition",ICD9
663.81,,"Other umbilical cord complications complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
642.5,,"Severe pre-eclampsia, unspecified as to episode of care or not applicable",ICD9
656.33,,"Fetal distress, affecting management of mother, antepartum condition or complication",ICD9
676.4,,"Failure of lactation, unspecified as to episode of care or not applicable",ICD9
646.11,,"Edema or excessive weight gain in pregnancy, without mention of hypertension, delivered, with or without mention of antepartum complication",ICD9
671.03,,"Varicose veins of legs complicating pregnancy and the puerperium, antepartum condition or complication",ICD9
646.1,,"Edema or excessive weight gain in pregnancy, without mention of hypertension, unspecified as to episode of care or not applicable",ICD9
671.01,,"Varicose veins of legs complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition",ICD9
655.33,,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, antepartum condition or complication",ICD9
656.2,,"Isoimmunization from other and unspecified blood-group incompatibility, unspecified as to episode of care or not applicable",ICD9
646.62,,"Infections of genitourinary tract in pregnancy, delivered, with mention of postpartum complication",ICD9
652.33,,"Transverse or oblique presentation, antepartum condition or complication",ICD9
646.23,,"Unspecified renal disease in pregnancy, without mention of hypertension, antepartum condition or complication",ICD9
646.82,,"Other specified complications of pregnancy, delivered, with mention of postpartum complication",ICD9
647.93,,"Unspecified infection or infestation of mother, antepartum condition or complication",ICD9
669.51,,"Forceps or vacuum extractor delivery without mention of indication, delivered, with or without mention of antepartum condition",ICD9
652.31,,"Transverse or oblique presentation, delivered, with or without mention of antepartum condition",ICD9
649.23,,"Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
665.51,,"Other injury to pelvic organs, delivered, with or without mention of antepartum condition",ICD9
676.52,,"Suppressed lactation, delivered, with mention of postpartum complication",ICD9
670.12,,"Puerperal endometritis, delivered, with mention of postpartum complication",ICD9
652.23,,"Breech presentation without mention of version, antepartum condition or complication",ICD9
656.23,,"Isoimmunization from other and unspecified blood-group incompatibility, antepartum condition or complication",ICD9
656.21,,"Isoimmunization from other and unspecified blood-group incompatibility, delivered, with or without mention of antepartum condition",ICD9
663.91,,"Unspecified umbilical cord complication complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
649.21,,"Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
654.6,,"Other congenital or acquired abnormality of cervix, unspecified as to episode of care or not applicable",ICD9
647.03,,"Syphilis of mother, complicating pregnancy,childbirth, or the puerperium, antepartum condition or complication",ICD9
658.03,,"Oligohydramnios, antepartum condition or complication",ICD9
643,,"Mild hyperemesis gravidarum, unspecified as to episode of care or not applicable",ICD9
674.12,,"Disruption of cesarean wound, delivered, with mention of postpartum complication",ICD9
674.32,,"Other complications of obstetrical surgical wounds, delivered, with mention of postpartum complication",ICD9
648.51,,"Congenital cardiovascular disorders of mother, delivered, with or without mention of antepartum condition",ICD9
649.14,,"Obesity complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",ICD9
647.2,,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
651.9,,"Unspecified multiple gestation, unspecified as to episode of care or not applicable",ICD9
654.03,,"Congenital abnormalities of uterus, antepartum condition or complication",ICD9
646.91,,"Unspecified complication of pregnancy, delivered, with or without mention of antepartum condition",ICD9
674.53,,"Peripartum cardiomyopathy, antepartum condition or complication",ICD9
646.14,,"Edema or excessive weight gain in pregnancy, without mention of hypertension, postpartum condition or complication",ICD9
655.13,,"Chromosomal abnormality in fetus, affecting management of mother, antepartum condition or complication",ICD9
665.31,,"Laceration of cervix, delivered, with or without mention of antepartum condition",ICD9
659.4,,"Grand multiparity, unspecified as to episode of care or not applicable",ICD9
647.21,,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9
664.31,,"Fourth-degree perineal laceration, delivered, with or without mention of antepartum condition",ICD9
642.04,,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication",ICD9
641.13,,"Hemorrhage from placenta previa, antepartum condition or complication",ICD9
643.23,,"Late vomiting of pregnancy, antepartum condition or complication",ICD9
646.53,,"Asymptomatic bacteriuria in pregnancy, antepartum condition or complication",ICD9
641.9,,"Unspecified antepartum hemorrhage, unspecified as to episode of care or not applicable",ICD9
646.12,,"Edema or excessive weight gain in pregnancy, without mention of hypertension, delivered, with mention of postpartum complication",ICD9
652.11,,"Breech or other malpresentation successfully converted to cephalic presentation, delivered, with or without mention of antepartum condition",ICD9
656.5,,"Poor fetal growth, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
649.3,,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
649.1,,"Obesity complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
641.23,,"Premature separation of placenta, antepartum condition or complication",ICD9
647.43,,"Malaria in the mother, antepartum condition or complication",ICD9
643.2,,"Late vomiting of pregnancy, unspecified as to episode of care or not applicable",ICD9
642.34,,"Transient hypertension of pregnancy, postpartum condition or complication",ICD9
669.32,,"Acute kidney failure following labor and delivery, delivered, with mention of postpartum complication",ICD9
666.32,,"Postpartum coagulation defects, delivered, with mention of postpartum complication",ICD9
642.21,,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition",ICD9
656.73,,"Other placental conditions, affecting management of mother, antepartum condition or complication",ICD9
649.32,,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9
649,,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
641.83,,"Other antepartum hemorrhage, antepartum condition or complication",ICD9
633,,Abdominal pregnancy without intrauterine pregnancy,ICD9
643.13,,"Hyperemesis gravidarum with metabolic disturbance, antepartum condition or complication",ICD9
654.01,,"Congenital abnormalities of uterus, delivered, with or without mention of antepartum condition",ICD9
658,,"Oligohydramnios, unspecified as to episode of care or not applicable",ICD9
641.03,,"Placenta previa without hemorrhage, antepartum condition or complication",ICD9
646.51,,"Asymptomatic bacteriuria in pregnancy, delivered, with or without mention of antepartum condition",ICD9
649.5,,"Spotting complicating pregnancy, unspecified as to episode of care or not applicable",ICD9
646.3,,"Recurrent pregnancy loss, unspecified as to episode of care or not applicable",ICD9
642.2,,"Other pre-existing hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable",ICD9
642.13,,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",ICD9
635.92,,"Legally induced abortion, without mention of complication, complete",ICD9
646.21,,"Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with or without mention of antepartum condition",ICD9
635.9,,"Legally induced abortion, without mention of complication, unspecified",ICD9
671.33,,"Deep phlebothrombosis, antepartum, antepartum condition or complication",ICD9
647.91,,"Unspecified infection or infestation of mother, delivered, with or without mention of antepartum condition",ICD9
647.64,,"Other viral diseases in the mother, postpartum condition or complication",ICD9
648.14,,"Thyroid dysfunction of mother, postpartum condition or complication",ICD9
674.34,,"Other complications of obstetrical surgical wounds, postpartum condition or complication",ICD9
647.84,,"Other specified infectious and parasitic diseases of mother, postpartum condition or complication",ICD9
